# Variable: nd
# Sample shape: (10, 2, 2)
# Date: 2018-10-08 17:03:47.984365
1.138082607576821559e+00,-9.694741997611315831e-01,1.873402324742132308e+00,-1.290434899038448435e+00
-2.257585150579053401e-01,1.480186781438352028e+00,1.549378991645185888e+00,1.983726131412190785e+00
-6.668768482930855779e-01,2.618803810906340068e+00,2.917201226719994267e-01,1.402385392337237136e+00
1.381662139302478387e+00,2.165453650543062381e+00,4.027410634996126948e-01,1.547130519729143616e+00
8.380039565240338106e-01,3.736074253686060276e-01,9.455586744420783063e-01,1.778389724961417784e+00
1.055464075902408316e+00,1.572080140823666428e+00,1.867578019233150588e+00,3.234612452533426108e+00
1.923584150216816502e+00,4.364810923778610352e-01,2.014472933361275864e+00,2.366985965343271214e-01
-1.860500300963938702e-01,-4.944115327080895739e-01,2.316213513233519317e-01,9.607200855303823506e-01
3.852872492822540185e+00,2.073906312694267395e+00,6.642293852325250603e-01,1.506516401322902876e+00
3.629579266737008592e-01,1.896840343099918114e-01,1.228471472227696593e+00,-6.148739746159737063e-01
